DOY,atmCO2
236.25,356
236.5,356
236.75,356
237,356
237.25,356
237.5,356
237.75,356
238,356
238.25,356
238.5,356
238.75,356
239,356
239.25,356
239.5,356
239.75,356
240,356
240.25,356
240.5,356
240.75,356
241,356
241.25,356
241.5,356
241.75,356
242,356
242.25,356
242.5,356
242.75,356
243,356
243.25,356
243.5,356
243.75,356
244,356
244.25,356
244.5,356
244.75,356
245,356
245.25,356
245.5,356
245.75,356
246,356
246.25,356
246.5,356
246.75,356
247,356
247.25,356
247.5,356
247.75,356
248,356
248.25,356
248.5,356
248.75,356
249,356
249.25,356
249.5,356
249.75,356
250,356
250.25,356
250.5,356
250.75,356
251,356
251.25,356
251.5,356
251.75,356
252,356
252.25,356
252.5,356
252.75,356
253,356
253.25,356
253.5,356
253.75,356
254,356
254.25,356
254.5,356
254.75,356
255,356
255.25,356
255.5,356
255.75,356
256,356
256.25,356
256.5,356
256.75,356
257,356
257.25,356
257.5,356
257.75,356
258,356
258.25,356
258.5,356
258.75,356
259,356
259.25,356
259.5,356
259.75,356
260,356
260.25,356
260.5,356
260.75,356
261,356
261.25,356
261.5,356
261.75,356
262,356
262.25,356
262.5,356
262.75,356
263,356
263.25,356
263.5,356
263.75,356
264,356
264.25,356
264.5,356
264.75,356
265,356
265.25,356
265.5,356
265.75,356
266,356
266.25,356
266.5,356
266.75,356
267,356
267.25,356
267.5,356
267.75,356
268,356
268.25,356
268.5,356
268.75,356
269,356
269.25,356
269.5,356
269.75,356
270,356
270.25,356
270.5,356
270.75,356
271,356
271.25,356
271.5,356
271.75,356
272,356
272.25,356
272.5,356
272.75,356
273,356
273.25,356
273.5,356
273.75,356
274,356
